Name,Description,Rating,Reviews,Image_links,Timing,All_Review_Links,Address,Spend Up Time,Website,Tags
Pacific Rim National Park Reserve,"Pacific Rim National Park Reserve is a 511 km² park located in British Columbia, Canada, which comprises three separate regions: Long Beach, the Broken Group Islands, and the West Coast Trail. It represents the Pacific Coast Mountains landscape, which is characterized by rugged coasts and temperate rainforests.
Widespread vegetation found in the park includes western hemlock, Sitka spruce, western red-cedar, deer fern and sword fern. Animal species vary from marine and intertidal species, such as humpback whales and ochre sea star, to terrestrial mammals, such as Vancouver Island wolves. For recreational purposes, Long Beach is used for surfing and windsurfing, the Broken Group for sea kayaking, and the West Coast Trail for hiking, as well as camping in all areas and scuba diving in the winter months in the Long Beach and Broken Group areas.
The Wickaninnish Beach Provincial Park formed the nucleus upon which the national park was assembled. After years of negotiation between the federal government and the provincial government of W.A.C. Bennett, a breakthrough was reached after Jean Chrétien took over for Arthur Laing as the federal minister responsible for parks. Wikipedia",4.8,"1,515 reviews","['https://lh5.googleusercontent.com/proxy/QRfMSPkvLmyhPk8Z9KThG0MPIXK4cA5jL1Ykf6MM4oQ91MSHYk78ElWkUTB0N4sZjh6ziDSSwNbNSv-V0T1QnJSYL7UwUI_bWlAkkoP2yqznft0y7911f6V-clSRu-UIMA4gdWLySYXFv3A45fo4PYkdDMjfWwE_ce-yqKlWzN9r=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcT9NszJ9y2OXTTQBwwIGUzJKMglZvsMi0Bps4wldFHGMNdvQAaQ-jpTeGMzsa7XuCuAFr38rnSw-LBgEBexolv7AQ', 'https://t2.gstatic.com/images?q=tbn:ANd9GcR4rGHsbENvO-cJ264xt2yZiD89P0l5CIKh-sftOnljK8SSYl3r4FOSEbC3hBZf1vlH104INTRPKGuvM54Z8OSdgQ']","{'Friday': ' 08:00 – 23:00', 'Saturday': ' 08:00 – 23:00', 'Sunday': ' 08:00 – 23:00', 'Monday': ' 08:00 – 23:00', 'Tuesday': ' 08:00 – 23:00', 'Wednesday': ' 08:00 – 23:00', 'Thursday': ' 08:00 – 23:00'}",https://search.google.com/local/reviews?placeid=ChIJhTSXOx4-iVQRwUoXx5Xv8ic,"British Columbia, Canada",,https://www.pc.gc.ca/en/pn-np/bc/pacificrim/visit,"['All', '', 'beaches', 'surfing', 'rainforest', 'waves', 'campsites', 'wildlife', 'old growth', 'lots', 'tide']"
Canada Place,"Canada Place is a building situated on the Burrard Inlet waterfront of Vancouver, British Columbia. It is the home of the Vancouver Convention Centre, the Pan Pacific Vancouver Hotel, Vancouver's World Trade Centre, and the virtual flight ride FlyOver Canada. The building's exterior is covered by fabric roofs resembling sails. It is also the main cruise ship passenger terminal for the region, where cruises to Alaska originate. The building was designed by architects Zeidler Roberts Partnership in joint venture with Musson Cattell Mackey Partnership and DA Architects + Planners.
Canada Place can be reached via the SkyTrain line at the nearby Waterfront Station terminus or via West Cordova Street in Vancouver. The white sails of the building have made it a prominent landmark for the city, as well as drawing comparisons to the Sydney Opera House in Sydney, Australia and the Denver International Airport in Denver, Colorado.
The structure was expanded in 2001 to accommodate another cruise ship berth. In 2009/10, for the 2010 Winter Olympics, Canada Place served as the Main Press Centre. Wikipedia",4.5,"11,569 reviews","['https://lh5.googleusercontent.com/proxy/MkPHX7g3qmad0lz8hTKI1TaPz4uDx7RJEkSqhi4OKzPZp3qrMB8JwEdiqWxUE_OvggN9x3p2qrEpqtEp9G0nc-iGRUHtuqWeQV9p_39PSGZL-vrCI_VPa88q2X4B-mtD7-emlsvgQXwkEqJU73vHGC4MLt0cOB5y2uVWRkwc7Dy_=w296-h202-n-k-no', 'https://t2.gstatic.com/images?q=tbn:ANd9GcRh6z9huZYeFgN1fW7EwzIMNXWco2ewWsKW5RJgsrFbuHTzX4ckSmtDyQa4QKF_z9OxoD3pv1Uq0BDTuUPWILzHMA', 'https://t3.gstatic.com/images?q=tbn:ANd9GcRLmVOTDF9kj5svFnGq9zlb1VJyGd3YmRGSvHbxFU7ak9np7MGx3dZ2X_Rbrph9Vio1Fqnt7-5WRV6SOB6OxSGVng']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJIeDiJJ1xhlQRCWHIheB_Bbc,"999 Canada Pl, Vancouver, BC V6C 3T4, Canada",,http://www.canadaplace.ca/,"['All', '', 'cruise ships', 'mountains', 'harbour', 'dock', 'ocean', 'pier', 'terminal', 'landing', 'sails']"
Lynn Canyon Suspension Bridge,"Lynn Canyon Park is a municipal park in the District of North Vancouver, British Columbia. When the park officially opened in 1912 it was only 12 acres in size, but it now encompasses 617 acres. The park has many hiking trails of varying length and difficulty. The Baden-Powell Trail passes through the park crossing over the Lynn Canyon Suspension Bridge. Due to its natural landscape many TV series such as Stargate SG-1 and Stargate Atlantis used the area for filming. Wikipedia",4.7,"3,964 reviews","['https://lh5.googleusercontent.com/proxy/TsCQ-woCL8oS9rceVQTyTpqjoxt0PiPsq0vgNf1dwBfa9BXDiPr1k9A2OAK7EvDqbrImqSXcpqobfboujsu1y_RxteZuoxCJGIZz-lTM1DZjN1ctrk93njX0AY3lye9l9OF1TO6L9Rys3JkgYuFrjLz5lQexyuwKwWnb9lPY-l09=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcS4YxWDJOTysJPY8Tw0WLwNq88FTnkydpYpjPIgc0N-jM1GxQWsdGqeKNQj2rldObJfct9ThH7a76EnM64DpdYcSQ', 'https://t3.gstatic.com/images?q=tbn:ANd9GcRGLp_GxgR1df9eYAzUzp2trQrGwXlMt0jncYuMvYgmmd3cp96-QVgNqlj0CBSnoBpmjfg4JWZy0lh3Oenj0YDAVA']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJo6mwbbx6hlQRfy2H6pWyz-k,"3690 Park Rd, North Vancouver, BC V7J 3K2, Canada",,http://lynncanyon.ca/information/,"['All', '', 'trails', 'pool', 'creek', 'cliff', 'public transport', 'ecology', 'rainforest', 'swimming holes', 'boardwalk']"
Takakkaw Falls,"Takakkaw Falls is a waterfall located in Yoho National Park, near Field, British Columbia in Canada. The falls have a total height of 373 metres, making it the 2nd tallest waterfall in Canada. The main drop of the waterfall has a height of 254 metres.
""Takakkaw"" translates to ""wonderful"" in Cree. The falls are fed by the meltwater of the Daly Glacier, which is part of the Waputik Icefield. The glacier keeps the volume of the falls up during the warm summer months, and they are a tourist attraction, particularly in late spring after the heavy snow melts, when the falls are at peak condition. Wikipedia",4.8,814 reviews,"['https://t2.gstatic.com/images?q=tbn:ANd9GcSbgxLWk7MEN3rW8atdz_wG8_VFuGS1i20nLQFnk61nUj2zfSkEIYxkucZ2UUYvHxFQ3D1Hj5J_iupDBduaOyKHTg', 'https://t0.gstatic.com/images?q=tbn:ANd9GcT8zW2BeFDA68dD01U0f82SkJhVr2fuKJncdZ6X5MLz0WqaZp81dd3GqnC61A2MXvAU3T10w0soWoj_4sOvsyMiiQ', 'https://t2.gstatic.com/images?q=tbn:ANd9GcTDEqq0pNq-84hoinBnNBtyBDwWfLNBWiCaZiL6fWcshjaPBE0fQqQjD-m2HH9N3XgsSd_iKtCuehrNJM6fTuf_tg']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJDUphg0tid1MR62iSiRhXJK0,"Yoho National Park, BC V0A 1G0, Canada",,https://www.pc.gc.ca/en/pn-np/bc/yoho/activ/places#takakkaw,"['All', '', 'climb', 'drive', 'mist', 'glacier', 'picnic tables', 'jacket', 'highway', 'RV', 'slope']"
English Bay,"English Bay is located in Vancouver, British Columbia, Canada, west of the downtown peninsula and False Creek. It consists of the south side of the Burrard Inlet, extending from Point Grey in the southwest to Prospect Point in the northeast. Wikipedia",4.7,265 reviews,"['https://lh6.googleusercontent.com/proxy/M6qfFMTvSCBl2GKST1DIs9Faw7rbwS8a7svhA9Fpa3k-HV_7w7uyuuP3vINiFdkHkeOxw309jstef6h8kWeLne0PfMQ_Q_o0nQh0PtzBTeJMPMFjaxKMGPB-hQvqcY5ezPP-R2U18bdLW-_Ca1QH6mr3gkqGCewwsfIMwPZJ7kk1=w296-h202-n-k-no', 'https://t3.gstatic.com/images?q=tbn:ANd9GcQcgcjG2EFf89cL97iLIlnAe_gj_N5Qae-UCzS6SGLQWkXIYyHoScU8br-MO5LrUMv2qzfKswN697Kk2Fd8sggqhQ', 'https://t3.gstatic.com/images?q=tbn:ANd9GcS9YghPyrNiqWSFniK7Ce-oKTusaQ_2Zi2NsVqlEuDcCzESracbcHQooYwZA3W4AV3dWhB-0tDYL9Ce09Iw9wBdgA']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJHVYdgzlyhlQRJYPLPIK0njY,British Columbia,,#,"['All', '', 'beautiful', 'sunset', 'walk', 'summer', 'restaurants', 'fireworks', 'bike', 'ocean', 'picnics']"
VanDusen Botanical Garden,"In 1970 the Vancouver Foundation, the British Columbia provincial government, and the city of Vancouver signed an agreement to provide the funding to develop a public garden on part of the old Shaughnessy Golf Course. That garden, VanDusen Botanical Garden, is situated in the Shaughnessy neighbourhood of Vancouver, British Columbia, Canada at the North West corner of 37th Avenue and Oak Street. It is named for local lumberman and philanthropist Whitford Julian VanDusen.
The Botanical Garden opened to the public on August 30, 1975 and remains jointly managed by the Vancouver Park Board and the Vancouver Botanical Gardens Association, similar to the operation of nearby Bloedel Conservatory. An administrative staff is bolstered by approximately 1200 non-gardening volunteers and six full-time unionized gardeners with seasonal interns assisting during the summer. The VBGA is responsible for membership, volunteering, education, the library, and development fundraising.
VanDusen's volunteers have a 45-year history in the garden and often exhibit a proprietary connection to the trees, shrubs and annuals. Wikipedia",4.6,"6,739 reviews","['https://lh5.googleusercontent.com/proxy/qanpTkNXRFr_eXtFHJ7Cs611Wsp_FteawZGzgMmHbcAzh5T6hOwl1MHPzBcM6tlGXrZ-eOF3ySRDB53oBrTIVP65jj_a9ueCpR_G5LU5FBxedU4HSTAYIUa3Zjf_IF1Z-GFJsv6W0CbGAPuFze-ZoD0KHW-snG8Rz8Yt15Mw4Kr7=w296-h202-n-k-no-v1', 'https://t2.gstatic.com/images?q=tbn:ANd9GcS5hqJ4UpXXOv5aZBq5u7TKq03SBMlOduChiVOlAZadIwYMTEmjJOQ1dfuYhbgFd15MnnuZ76d5TMki9ZOsVm5FcA', 'https://t0.gstatic.com/images?q=tbn:ANd9GcTZqspPX-qDYEmTy0XTXPccYbMFLlvLM887r_6zJRkBu0Eu7ge-5N7FxmCggs8ibz6Mxsyg1iTsvsNmXibDbREY3Q']","{'Friday': ' 10:00 – 14:00', 'Saturday': ' 10:00 – 14:00', 'Sunday': ' 10:00 – 14:00', 'Monday': ' 10:00 – 14:00', 'Tuesday': ' 10:00 – 14:00', 'Wednesday': ' 10:00 – 14:00', 'Thursday': ' 10:00 – 14:00'}",https://search.google.com/local/reviews?placeid=ChIJwW3HeIZzhlQRVxJgWI8VjAg,"5251 Oak St, Vancouver, BC V6M 4H1, Canada",,http://vancouver.ca/parks-recreation-culture/vandusen-botanical-garden.aspx,"['All', '', 'festival', 'christmas lights', 'maze', 'halloween', 'light show', 'carousel', 'food trucks', 'donuts', 'mulled wine']"
Big White Ski Resort,"Big White is a ski resort in 5315 Big White Road, Kelowna, V1P 1P3, British Columbia, Canada. Wikipedia",4.7,"3,100 reviews","['https://t1.gstatic.com/images?q=tbn:ANd9GcTl96O6ZEHwG_G0YxT3Lbd5Cp77hWiOw3f_O9bTFniMLUhZVc4NnMod9aadHTBJWlRdU98iU5nkQ9KXdr_eqrkuZw', 'https://t1.gstatic.com/images?q=tbn:ANd9GcTYAY2nfGTSvKF0MDpsLsU2nL6IgM8b9vTbDqZY8D1WFz3YWSsgO19JqUiyegYAUEOQ4CiiKbeUpqwDyzjnAUI1zQ', 'https://t1.gstatic.com/images?q=tbn:ANd9GcSLCOLgFJJeXfdx82qE6WPPCrRdIKdy2v7lvcxuXmAMdtnlYJnG5se43UwGeuDOFOnOSy003veawwFfgy7UBMkhzw', 'https://t1.gstatic.com/images?q=tbn:ANd9GcSkALACSw-Poht7cy8gRUByxl90GtavNbV9eF7npGBqpjwSfksGm4GBPM1-vx7FB0SheDSZCwlzwT3yUtva1pcwoA', 'https://lh5.googleusercontent.com/p/AF1QipOrl4tlXuaSDYwy2jZHBIlw4akFT-i8HPHACPT6=w296-h202-n-k-no-v1']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJNVeBt_-efVMRzAA5aCq3VRY,"5315 Big White Rd, Kelowna, BC V1P 1P3, Canada",,http://www.bigwhite.com/,"['All', '', 'tubing', 'skating', 'amenities', 'visibility', 'glade skiing', 'condo', 'pubs', 'champagne powder', 'glades']"
Science World,"Science World is a science centre run by a not-for-profit organization of the same name in Vancouver, British Columbia, Canada. It is located at the end of False Creek and features many permanent interactive exhibits and displays, as well as areas with varying topics throughout the years.
Prior to the building being handed over to Science World by the city government in 1987, the building was built as Expo Centre for the Expo 86 world's fair. Following the end of Expo 86, the building was re-purposed as a science centre. The science centre opened on May 6, 1989, as Science World. From 2005 to 2020, the museum was branded as Science World at Telus World of Science, before it reverted back to its original name. Wikipedia",4.5,"8,594 reviews","['https://lh6.googleusercontent.com/proxy/yWb5EEmzqRnAxLS1KPIahlA1x-22p85NCcgiyd9Qks9Uvl5PluapsjyFpxfqZnHYIJUXsfep9a-w_Ys5PnkAkyxglz8opGbHYm_8-XisBDY-qqiDha9I3EP9hc-JnAmwFAbkZPAxvqpBlEc_8iGMJWlsQCfpcw50OuO8uvAc1LLl=w296-h202-n-k-no-v1', 'https://t1.gstatic.com/images?q=tbn:ANd9GcTJSjAdWy61Ge2vAXBKw-IfokLCTe9QQqZuoTh7Uq1VCRtBaPDEiqCYgKAVG9g1kEt4hDTHBKE3LfRw8G1XhWBIbA', 'https://t3.gstatic.com/images?q=tbn:ANd9GcQ_WTFfIgu1OPV0yx2MSdEsDcmxKPzQTRLCZV670qwhO-ZIH2CMI4l1915ke0UmYr0OVZ0lA6-DYJvJKa5lKN2iSg']","{'Friday': ' 10:00 – 17:00', 'Saturday': ' 10:00 – 17:00', 'Sunday': ' 10:00 – 17:00', 'Monday': ' Closed', 'Tuesday': ' Closed', 'Wednesday': ' 10:00 – 17:00', 'Thursday': ' 10:00 – 17:00'}",https://search.google.com/local/reviews?placeid=ChIJnZHwi2NxhlQRN3CYHzc3giE,"1455 Quebec St, Vancouver, BC V6A 3Z7, Canada",,https://scienceworld.ca/,"['All', '', 'IMAX', 'theatre', 'puzzles', 'burger', '(g)i-dle', 'option', 'demonstrations', 't-rex', 'mirror maze']"
Museum of Anthropology,"The Museum of Anthropology at the University of British Columbia campus in Vancouver, British Columbia, Canada is renowned for its displays of world arts and cultures, in particular works by First Nation band governments of the Pacific Northwest. As well as being a major tourist destination, MOA is a research and teaching museum, where UBC courses in art, anthropology, archaeology, conservation, and museum studies are given. MOA houses close to 50,000 ethnographic objects, as well as 535,000 archaeological objects in its building alone. Wikipedia",4.6,"3,297 reviews","['https://lh6.googleusercontent.com/proxy/D6LmV5WCHoxvbZ0jaJOuliNQlM6DPquIm-THyA1Pp0kshM-KNnKI1RZlZwt7nI4j2FlFGikEI-I0eLBbV5R-1AlOuxUQQwgkoparldCVY5QNeHZWFHHscvU8fz9Ok_SpC_Nz7PWhrXgBgHvO3czU6JipRwCPafA-oOpw2GrQBQmY=w296-h202-n-k-no-v1', 'https://t3.gstatic.com/images?q=tbn:ANd9GcToYC9pXiozJZTdLwUzGFVxgyWYaoR1YWTyzMZc6yTrRkq4t-c1rh1L9cmSdGDru2pmjveRIpP3t9jbreh871XrFA', 'https://lh5.googleusercontent.com/p/AF1QipP8CWnRkGw-Pq3wwFJj3eApgrxVnVLBR2CHDQu6=w296-h202-n-k-no-v1']","{'Friday': ' 10:00 – 17:00', 'Saturday': ' 10:00 – 17:00', 'Sunday': ' 10:00 – 17:00', 'Monday': ' Closed', 'Tuesday': ' 10:00 – 17:00', 'Wednesday': ' 10:00 – 17:00', 'Thursday': ' 10:00 – 17:00'}",https://search.google.com/local/reviews?placeid=ChIJrf8w27NyhlQR44St4PQccfY,"6393 NW Marine Dr, Vancouver, BC V6T 1Z2, Canada",,http://moa.ubc.ca/,"['All', '', 'first nations', 'artifacts', 'indigenous', 'guided tour', 'campus', 'masks', 'lockers', 'backpacks', 'puppets']"
Beacon Hill Park,"Beacon Hill Park is a 75 ha park located along the shore of Juan de Fuca Strait in Victoria, British Columbia. The park is popular both with tourists and locals, and contains a number of amenities including woodland and shoreline trails, two playgrounds, a waterpark, playing fields, a petting zoo, tennis courts, many ponds, and landscaped gardens. The traditional name of the hill is Meeacan to the Songhees people, meaning ""belly.""
The land was originally set aside as a protected area by Sir James Douglas, governor of the Colony of Vancouver Island in 1858. In 1882, the land was officially made a municipal park of the City of Victoria, and given its present name. The name is derived from a small hill overlooking the Strait, upon which once stood navigational beacons. The hill is culturally significant, having been a burial site for the First Nations Coast Salish people, who are the original inhabitants of the Greater Victoria region. It provides scenic vistas of the Strait and the Olympic Mountains of Washington.
Although much of the park has been landscaped into gardens and playing fields, and populated with various structures, a great deal of the native flora has been preserved. Wikipedia",4.7,"6,222 reviews","['https://lh5.googleusercontent.com/proxy/zyvBlRkmvHKmfeL6vQca4o_OyVYh-wjqn5tp8qKoYsvkKhFYsw_AmghVFP3_Dsjmimc9bgOWT1tyGuqcuXtPDnMX7UDI7jon-0k6w4XTYWYzmJ3P9nfC4hdOyBuvT6AtDSIz3L83WDx1K1hJirQ5R4Q871CtwneF_iqmMP3YMKck=w296-h202-n-k-no-v1', 'https://t2.gstatic.com/images?q=tbn:ANd9GcQPByccDhJBnJ9L7-328FJ-dXXvPwAZpfXACZTgAcfvigHY-BcvY8CffkHTqZkhGVo58AGWLRL84HiYZMNZ49VCAw', 'https://t2.gstatic.com/images?q=tbn:ANd9GcQC0fENmFYPmhC79PUAhKj2b9OIOQyWzDg0etPvzyDwAgaJHzT2yuvXALzi-_kocWqcZ4rL2MJFGU7GUztnsTNxoA']","{'Friday': ' Open 24 hours', 'Saturday': ' Open 24 hours', 'Sunday': ' Open 24 hours', 'Monday': ' Open 24 hours', 'Tuesday': ' Open 24 hours', 'Wednesday': ' Open 24 hours', 'Thursday': ' Open 24 hours'}",https://search.google.com/local/reviews?placeid=ChIJa4uQ3-p0j1QRDtSaFQ5NHrQ,"100 Cook St, Victoria, BC, Canada",1 hour,https://www.victoria.ca/EN/main/residents/parks/beacon-hill.html,"['All', '', 'petting zoo', 'peacocks', 'goats', 'ocean', 'totem pole', 'duck pond', 'herons', 'rose garden', 'stampede']"
Dr. Sun Yat-Sen Classical Chinese Garden,"The Dr. Sun Yat-Sen Classical Chinese Garden is the first Chinese or ""scholars"" garden built outside of China, and is located in Chinatown in Vancouver, British Columbia, Canada. It is located at 578 Carrall Street and consists of a freely accessible public park and a garden with an admission fee. The mandate of the garden is to ""maintain and enhance the bridge of understanding between Chinese and western cultures, promote Chinese culture generally and be an integral part of the local community."" Wikipedia",4.2,"3,880 reviews","['https://lh3.googleusercontent.com/proxy/c3ZzcksJiqZJVmC9GcY_jXALr1wk1SwNGcFw54V4Uvn289JehYF1gHTLyiLGmCYRPKElrE17B8ZA1IZnTkKtT2kKJ3av95_-hsT2QM9x5nsEENqmu-MeOKdjeshAKEccVehvViTV3UJH44UTAl0RCQO26ED7u-R7c9oCkpgPemqn=w296-h202-n-k-no-v1', 'https://t2.gstatic.com/images?q=tbn:ANd9GcSVyiryuLkaucidapq0aw-tY2_9yO7OPpXTK3n31DX23I6GSMvzwRw_vcULkekaHifpWVgwwHJBhr6soAkXCYBaZA', 'https://t0.gstatic.com/images?q=tbn:ANd9GcRtfv6ZF3fV8ArNiU46PJQvPtXgnjb1lizr1FImpFIAic6ZbJxec-mrPqYEboczYtwy2RgADZmGDD6wAtRdoFbhhQ']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJ8ToMkXpxhlQRYqJG8pg7rQI,"578 Carrall St, Vancouver, BC V6B 5K2, Canada",,http://www.vancouverchinesegarden.com/,"['All', '', 'guided tour', 'koi fish', 'gift shop', 'turtles', 'bamboo', 'otter', 'calligraphy', 'chinese architecture', 'docent']"
Shannon Falls Provincial Park,"Shannon Falls Provincial Park is a provincial park in British Columbia, Canada. It is located 58 kilometers from Vancouver and 2 kilometers south of Squamish along the Sea to Sky Highway.
The park covers an area of 87 hectares. The main point of interest is Shannon Falls, the third highest waterfall in BC, where water falls from a height of 335 meters. The falls are named after a William Shannon who first settled the property in 1889 and made bricks in the area.
The park also protects the surrounding area on the north-east shore of the Howe Sound.
Just to the north are Murrin Provincial Park and Stawamus Chief Provincial Park. Located immediately across the highway from Shannon Falls is a privately operated campground and restaurant, plus the entrance to the Darrell Bay ferry terminal for Woodfibre. The Sea to Sky Gondola adjoins the park. The gondola line was deliberately cut in 2019 and again in 2020 after repairs.
The falls and adjoining woods are commonly used in television and film production. Wikipedia",4.7,"1,262 reviews","['https://lh6.googleusercontent.com/proxy/Rz8WdLxTbP4l83YpUKrnJjawVu1zeZ-xZcXC8122fKJUMCEz0AmK05FwdVtNjEFiKCC7nk3rrtvXIwu922BlYYvx-Mv62u9Mqfok7OiQO8uqCuZ2I0iD722Kmuu9l4Z8Ro49YG4viCa2WE9kqgTSZzz7qtSh17McvNdI4r8Phf02=w296-h202-n-k-no', 'https://t3.gstatic.com/images?q=tbn:ANd9GcQDrCcgh_F5ig_PC1UjQMfc2baXfa-Iqr3AazzPnD29usG_6ObPJ1zPLgX9ujuuL5wm2qKnsk_E6_6H6SKtY0RzfA', 'https://t2.gstatic.com/images?q=tbn:ANd9GcRzayGa7KnB6TCdLtm74u4mvGX1u8tNKKvvcjmNoi7Bhh14ifH6ZdPTTPDAJof-_GwmoATNURQcynu9mLBcuFRDvQ']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJU_e-ag5YhlQRVnYsDNKhfA0,"Squamish-Lillooet D, BC V0N 1T0, Canada",,http://bcparks.ca/explore/parkpgs/shannon/,"['All', '', 'beautiful', 'picnic', 'highway', 'accessible', 'climbing', 'bathrooms', 'paved', 'benches', 'gift shop']"
Mount Seymour,"Mt Seymour is a ski resort in 1700 Mount Seymour Road, North Vancouver, V7G1L3, British Columbia, Canada. Wikipedia",4.4,187 reviews,"['https://t3.gstatic.com/images?q=tbn:ANd9GcSmc00ornVoFlHTmENCXIfzQp5yAFYxdRDTwdMYZyZbmYDY9Q9fbYq7hqRZKT0NHsxHkwhMda3_l2MSIK2FC0JCRQ', 'https://t1.gstatic.com/images?q=tbn:ANd9GcR5aZi-bT2-kJR1oZt-Cv9wwOqpNHSpxzbgvZbguAqLRWG4cRnNsjjYCQo7j85bQcz3Y654F2rHHxTxm4JHO5_rPA', 'https://lh3.googleusercontent.com/proxy/vTzBVdlviBPNGmk_r8TVmqK3DhAJ61ROCwiAS1VaILB5izXhcco3lIH6uKgEW4XfKFyYZfn8nGpXA4YCYQFI1Sc66eWhQt3Upvmh8-pqsx47UUizanKPDtjxpANbX6jgSFkQ6TpVsxk5pd-V0War1pNHBm0qyKA73gg=w296-h202-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMbAt1rxF7Eo0W2HTJ2zKG14LPas1XC38V4hIw5=w296-h202-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNZ4MOZOve7lLNclQx8fUcZ1K0IC-Fthh9gx9rh=w296-h202-n-k-no']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJYRQV-FZjhlQRiq8VNQ_oRiM,"1,449 m",,#,"['All', '', 'hike', 'snowshoeing', 'trails', 'snowboarding', 'family', 'ski resort', 'summer', 'rental', 'park']"
Craigdarroch Castle,"Craigdarroch Castle in Victoria, British Columbia, Canada, is a historic, Victorian-era Scottish Baronial mansion. It was designated a National Historic Site of Canada due to its landmark status in Victoria. Wikipedia",4.4,"3,786 reviews","['https://lh4.googleusercontent.com/proxy/ut4SXtwDfo4PV0fQCLbUrJsgOWQNXbp6MS5k62PUOmtT0XlreBAfCCxN56now-pxX82tZo6ZED8SGativnTbhKKpJqQwWxwms3u0wYvvLQJsDqGApeqP-uoksw9Bph3ZokB5cHamFRNG7DAy4jFouOu1bGNwyGPd-pV3bThrcyTx=w296-h202-n-k-no', 'https://t0.gstatic.com/images?q=tbn:ANd9GcQPgxbwBxxbAW_zYpk5sdpk6jWZBD3nda6z8UnsluqxDiupQdq7aBBfwV6Qquj_Ng193xsvHtOxoWMSfCcpYAyz8w', 'https://t3.gstatic.com/images?q=tbn:ANd9GcSq0shuOY7uBT3FjTt73nhEZHuDlbq22e6AuAD5ESKONJb7RIiE3UC1e61jOvpk_bu-NWibRwGztrdwY5jHmFZ3Zg']","{'Friday': ' 11:00 – 16:30', 'Saturday': ' 11:00 – 16:30', 'Sunday': ' 11:00 – 16:30', 'Monday': ' Closed', 'Tuesday': ' Closed', 'Wednesday': ' 11:00 – 16:30', 'Thursday': ' 11:00 – 16:30'}",https://search.google.com/local/reviews?placeid=ChIJ13vUgIp0j1QRbx3mZXLZILI,"1050 Joan Crescent, Victoria, BC V8S 3L5, Canada",1.5 hours,http://www.thecastle.ca/,"['All', '', 'mansion', 'self guided tour', 'woodwork', 'gift shop', 'victorian', 'stained glass', 'hospital', 'coal', 'cruise']"
Mount Robson,"Mount Robson is the most prominent mountain in North America's Rocky Mountain range; it is also the highest point in the Canadian Rockies.
The mountain is located entirely within Mount Robson Provincial Park of British Columbia, and is part of the Rainbow Range.
Mount Robson is the second highest peak entirely in British Columbia, behind Mount Waddington in the Coast Range.
The south face of Mount Robson is clearly visible from the Yellowhead Highway, and is commonly photographed along this route.
Mount Robson was likely named after Colin Robertson, who worked for both the North West Company and the Hudson's Bay Company at various times in the early 19th century, though there was confusion over the name as many assumed it to have been named for John Robson, an early premier of British Columbia.
The Texqakallt, a Secwepemc people and the earliest inhabitants of the area, call it Yexyexéscen, spelled in Dawson 1891 as Yuh-hai-has-kun, The Mountain of the Spiral Road.
Other unofficial names include Cloud Cap Mountain. Wikipedia",4.7,95 reviews,"['https://t3.gstatic.com/images?q=tbn:ANd9GcR7gNIhS8ufZILfCHxzAe3irI5csI67vMx838GBpmD2IAf5NIexXDFmYtw5khKg-fLrSXOYWLtWV7ao0NKvaK_ZWw', 'https://t2.gstatic.com/images?q=tbn:ANd9GcSZOsu-dsncg8fBU-gCJS2Eg5gYwEG4oKV5tdhx0ny1mgYyFBwGagY2cPwAViDMBP3eRTVIgszkLjXvgkLlG4fF-A', 'https://t1.gstatic.com/images?q=tbn:ANd9GcSBASwqb9D4o25dRgVxdxh0r0VmKYMksjO52QhYmlviAnWbrncf8OZior0pffXbYYwGtyP5xfWHrMiKvUszZmPjGA']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJzVY05Jtlg1MRAxu8vuvrSWw,"3,954 m",,#,"['All', '', 'hike', 'trail', 'area', 'visitor center', 'glacier', 'campground', 'photographed', 'trip']"
