,ID,resId,title
134,134,134,I Am Thai Restaurant
135,135,135,Sushi Nara
136,136,136,Green Garden Restaurant
137,137,137,Salaam Namaste
138,138,138,Restaurant 62
139,139,139,Sui Sha Ya Japanese Restaurant
140,140,140,Greek Islands Restaurant
141,141,141,Domino's Pizza
142,142,142,The Highwayman Pub
143,143,143,Hiko Sushi Japanese Restaurant
144,144,144,New Saigon Vietnamese Cuisine
145,145,145,COBS Bread
146,146,146,White Spot Restaurant
147,147,147,Masala Art Indian restaurant
148,148,148,Fortune Palace
149,149,149,Red Robin Restaurant
150,150,150,Abbotsford Roastery Café
151,151,151,Famoso Neapolitan Pizzeria
152,152,152,Super Bite Pizza
153,153,153,L.J. Bubble Tea House
154,154,154,Brown’s Social House
155,155,155,Quesada Burritos & Tacos
156,156,156,Little Japan Restaurant
157,157,157,Cheryl's Cafe
158,158,158,Pho Number One
159,159,159,Popeyes
160,160,160,Lou's Grill
161,161,161,Intercity Cafe
162,162,162,Ocean Park Pizza & Steak House Abbotsford
163,163,163,Browns Socialhouse McCallum
164,164,164,Quiznos
165,165,165,Shogun
166,166,166,Jugo Juice
167,167,167,Nando's West Oaks
168,168,168,Presto bbq
169,169,169,Delicrepe
170,170,170,Sizzler
171,171,171,strEATS Abbotsford Kitchen
172,172,172,S+L Kitchen & Bar
173,173,173,Zaika
174,174,174,Edelweiss Sub Express
175,175,175,Gian's Indian Cuisine
176,176,176,JoJo's Fish and Chips
177,177,177,California Tacos To Go
178,178,178,Solo Cafe and Fast Food
179,179,179,Nature's Pickin's
180,180,180,Vi La Palace Vietnamese Restaurant
181,181,181,Opa! Of Greece
182,182,182,Taco Time
183,183,183,Clayburn Village Store and Tea Shop
184,184,184,Mona Pizza
185,185,185,Sehmi Japenese Restaurant
186,186,186,La Casa Coffee
187,187,187,Croissantree
188,188,188,Brodeurs Bistro
189,189,189,Himalaya Indian Cuisine
190,190,190,Burger King
191,191,191,Sushiwa
192,192,192,The Canadian Brewhouse & Grill
193,193,193,Wokbox Restaurant
194,194,194,Noodle Road
195,195,195,Milestones
196,196,196,Pizza24
197,197,197,Sushi Box
198,198,198,Sagano Japanese Restaurant
199,199,199,Kira Sushi
200,200,200,Oriental Village
201,201,201,Top In Town Pizza
202,202,202,Surfside Cafe
203,203,203,Thai d'Or
204,204,204,Canadian 2 For 1 Pizza
205,205,205,Moxie's Grill & Bar
206,206,206,Brambles Bistro
207,207,207,Ra Sushi
208,208,208,Bamboo Palace Restaurant
209,209,209,Gians Sweet Shop & Restaurant
210,210,210,Once Upon A Thai
211,211,211,Rendezvous Restaurant Mt Lehman
212,212,212,Phuket Thai Restaurant
213,213,213,U and I Thai Fine Cuisine
214,214,214,Greek Islands Restaurant III
215,215,215,Bavaria Restaurant
216,216,216,Jasmine Garden Restaurant
217,217,217,A&W Restaurant
218,218,218,Bhav's Indian Cuisine
219,219,219,Fatburger
220,220,220,Mucho Burrito
221,221,221,Chef Boss Culinary
222,222,222,SippChai Cafe
223,223,223,Cafe Amarti
224,224,224,A&W Canada
225,225,225,Dairy Queen Grill & Chill
226,226,226,The Polly Fox Bakery and Bistro
227,227,227,Duft & Co. Bakehouse
228,228,228,A&W
229,229,229,Mary Brown's Famous Chicken and Taters
230,230,230,Wok Box
231,231,231,Afterthoughts Restaurant
232,232,232,O'Neill's Home Cooking
233,233,233,Lully’s Mobile Kitchens
234,234,234,Fatburger & Buffalo's Express
235,235,235,Cupcakes at Highstreet
236,236,236,Oldhand Coffee
237,237,237,The HABIT Project
238,238,238,Tracycakes Bakery Cafe
239,239,239,Dairy Queen (Treat)
240,240,240,Happy Hour Bubble Tea
241,241,241,Clik Coffee Bistro
242,242,242,Wired Monk Coffee Bistro
243,243,243,Family Deli & Coffee Shop
244,244,244,The Farmer’s Table
245,245,245,Pan Asia Market & Deli
246,246,246,Yellow Barn Country Market
247,247,247,Chilcotin Hotel
248,248,248,Happy Eater Restaurant
249,249,249,Aldergrove indian bistro
250,250,250,Dragon Sushi Hut
251,251,251,Everest Cafe
252,252,252,Aldergrove Cafe
253,253,253,Temple Restaurant
254,254,254,Fox & Hounds
255,255,255,Alder Inn Hotel Restaurant
256,256,256,Encore Restaurant
257,257,257,Hirame Sushi
258,258,258,Beatniks Bistro
259,259,259,JD Farms – Specialty Turkey Store & Bistro
260,260,260,Wendel's Bookstore & Cafe
261,261,261,Hitori Sushi Japanese Restaurant
262,262,262,Krause Berry Farms
263,263,263,Ban Chok Dee Thai Cuisine
264,264,264,Queen India Jumbo Pizza
265,265,265,Benkey Sushi
266,266,266,Bacchus Bistro
267,267,267,Mug Huggers Industrial Coffee
268,268,268,Bob's Bar n' Grill
269,269,269,Mazatlan Mexican Restaurant
270,270,270,Kami Teriyaki & Sushi
271,271,271,We Cafe & Grill
272,272,272,Pho Tran Vietnamese Restaurant
273,273,273,An Indian Affair
274,274,274,Tomo Sushi
275,275,275,Tj's Restaurant
276,276,276,Industrial Park Sandwich Works
277,277,277,The Dam Restaurant & Bar
278,278,278,Sushinomichi
279,279,279,Maruya Sushi
280,280,280,Murrayville Town Pub
281,281,281,Brick Alley Bistro
282,282,282,strEATS Aldergrove Kitchen
283,283,283,Choice Pizza Ltd
284,284,284,Schnitzelz
285,285,285,Columbia Coffee House
286,286,286,Annora Restaurant
287,287,287,7-Eleven
288,288,288,Lotus Garden Express
289,289,289,ATLAS Steak + Fish Langley
290,290,290,Round Table Pizza
291,291,291,Doris' European Delicacies
292,292,292,Holy Falafel & Shawarma House
293,293,293,Hilltop Diner Cafe
294,294,294,Embers BBQ House
295,295,295,Nikko Sushi
296,296,296,Ocean Park Pizza
297,297,297,Estrella's Montreal Deli
298,298,298,Cor's 2 For 1 Pizza
299,299,299,The Blackberry Kitchen
300,300,300,Arby's
301,301,301,Fort Alexandria Cafe
302,302,302,ROMA'S
303,303,303,Pass'n Thyme
304,304,304,Shop Rite Deli
305,305,305,Cook Shack
306,306,306,Bayside Grill
307,307,307,Senor Miso
308,308,308,Cabin Restaurant
309,309,309,J B's Pub & Restaurant
310,310,310,Bob's Bar and Grill
311,311,311,Betty O's
312,312,312,Black Salt Cafe
313,313,313,Ktunaxa Grill
314,314,314,Rockwood Cafe
315,315,315,Dine N' Dash
316,316,316,Kootenay Cove Cafe
317,317,317,"Boccalino Restaurant, Motel & Cabins"
318,318,318,Dragon Fried Rice House
319,319,319,The Yellow Deli
320,320,320,Silvano's Restaurant
321,321,321,Cheam Sushi
322,322,322,The Copper Room
323,323,323,Wildcat Grill
324,324,324,Milos Greek Taverna
325,325,325,Rancher's Restaurant
326,326,326,Pho Ho
327,327,327,Sushi Kitami Japanese Restaurant
328,328,328,Bravo Restaurant & Lounge
329,329,329,Shandhar Hut
330,330,330,Out To Lunch Cafe
331,331,331,Ocean Sushi
332,332,332,Yukiya Sushi
333,333,333,Harrison Corner
334,334,334,The Broken Whisk
335,335,335,Teriyaki+Fish&Chips
336,336,336,Chuck & Kitty's
337,337,337,Harrison Hamburgers
338,338,338,Munchikone Food Bar
339,339,339,Baskin-Robbins
340,340,340,Taj Indian Bistro
341,341,341,Miss Margaret's
342,342,342,Royal-King Indian Resturant
343,343,343,Chantilly Gelato & Ice Cream in Harrison
344,344,344,Petro's Pizza 
345,345,345,Black Forest Steak & Schnitzel
346,346,346,WonsHouse
347,347,347,Old Settler Pub
348,348,348,Muddy Waters Cafe
349,349,349,Suzy's Cafe
350,350,350,Islands Bar
351,351,351,Morgan's Bistro
352,352,352,Hemlock Mountain Coffee Co.
353,353,353,Heritage Coffee House
354,354,354,Lakeside Cafe
355,355,355,Hongs Garden Chinese Restaurant
356,356,356,Horn of Plenty Cafe
357,357,357,The Green Star Cafe
358,358,358,Tandoori Bites
359,359,359,Village Pizzeria
360,360,360,Agassiz Deli
361,361,361,Jimmy's Pub & Grill
362,362,362,Lakeview Restaurant
363,363,363,Chartreuse Moose Cappuccino Bar & Bistro
364,364,364,Sushi and Noodle
365,365,365,Sunyam Thai
366,366,366,Pizza X Two
367,367,367,BJ's Donuts & Eatery
368,368,368,Farrier pub
369,369,369,Blue Sky Chinese Restaurant
370,370,370,Jake's
371,371,371,Jackson's Social Club and Brew House
372,372,372,Firehouse Diner
373,373,373,P Bass Fish and Chips
374,374,374,GBR - Craft Burgers & Poutines
375,375,375,Pizza Man
376,376,376,El Caballo Restaurant
377,377,377,Rise & Grind Coffee House
378,378,378,Red Rock Grill
379,379,379,The Great Wok
380,380,380,Smitty's 100 Mile House
381,381,381,Dusty Rose Pub
382,382,382,Mandy's Family Diner
383,383,383,Sunyam Thai Restaurant
384,384,384,The Sugar Shack
385,385,385,Cindy's 108 Cookery
386,386,386,Hills Trails End Dining
387,387,387,Trails End Dining Room
388,388,388,Vidas
389,389,389,Hungry Bear Diner
390,390,390,Q Brew Coffee Bar
391,391,391,108 Steakhouse & Bar
392,392,392,Manies Grill And Pizza
393,393,393,Anie's Pizza & Bakery
394,394,394,Horstings Farm Market
395,395,395,Cheryl's Place
396,396,396,Star House Restaurant
397,397,397,Oasis Hotel
398,398,398,Copper Canyon Chevron
399,399,399,Heartland Restaurant
400,400,400,Hungry Herbie's Drive In
401,401,401,Bear's Claw Lodge
402,402,402,Chum's Restaurant
403,403,403,Husky House Restaurant
404,404,404,Junctions Coffee House
405,405,405,Thyme for Tea
406,406,406,Ricky's All Day Grill
407,407,407,Sushi Jo
408,408,408,Duke's
409,409,409,Takilia Mexican Foods
410,410,410,Fifty Parallel Tap & Grill
411,411,411,Big Rock Garage
412,412,412,Potstickers & Curry Bar and Take Out
413,413,413,Shot in the Dark Cafe
414,414,414,Tyee Pub
415,415,415,Roberts Lake Resort
416,416,416,Ryan's Pizzeria
417,417,417,Kfc
418,418,418,Session
419,419,419,Journey's End
420,420,420,Imagine Thai Food
421,421,421,Browns Bay Resort campbell river
422,422,422,THE SANDTRAP Restaurant & Lounge
423,423,423,Beach Fire Brewing and Nosh House
424,424,424,The Crooked Spoon
425,425,425,Fishermen's Lodge
426,426,426,Seabreeze Take Out
427,427,427,Yum Yums Cafe
428,428,428,Rose Bowl Restaurant
429,429,429,Royal Aroma
430,430,430,Beachwood Corner Cafe
431,431,431,Riptide Marine Pub
432,432,432,Ginger Beef House
433,433,433,Merecroft Village Pub & Restaurant MVP
434,434,434,Ox Restaurant
435,435,435,The Narrows Floating Restaurant
436,436,436,Spice Hut Indian Cuisine.
437,437,437,Panagopoulos Pizza Place
438,438,438,Amy's Asian Foods & Cafe
439,439,439,Fuel Up Cafe
440,440,440,Chiang Rai Noodle House
441,441,441,Biscotti's
442,442,442,Katie's Rice Box
443,443,443,Miki's Sesame Sushi
444,444,444,Tamarac Cafe
445,445,445,Socal Restaurant and Lounge
446,446,446,Anchor Waterfront Restaurant & Lounge
447,447,447,Canton Restaurant
448,448,448,Dockside Fish & Chips
449,449,449,Wasabiya Japanese Sushi Cafe
450,450,450,D.I. Restaurant & Lounge
451,451,451,Baan Thai Restaurant
452,452,452,Best Wok
453,453,453,Quesada Burritos And Tacos
454,454,454,Forbidden Zone Pizza
455,455,455,Sushi Mong
456,456,456,Sunny Day Cafe
457,457,457,Quay West Kitchen & Catering
458,458,458,BlowHoles Harbour Cafe
459,459,459,Driftwood Restaurant
460,460,460,Crabby Bob's Seafood
461,461,461,Discovery Foods Chicken Take Out
462,462,462,Vincenti's Italian Restaurant
463,463,463,Ideal Cafe
464,464,464,Banners Restaurant
465,465,465,Popsey's Restaurant
466,466,466,Seabreeze Cafe
467,467,467,Quality Foods Chinese Take Out
468,468,468,Match Eatery & Public House
469,469,469,Discovery Pier
470,470,470,Bejing House
471,471,471,Honey Lemon Grill
472,472,472,Anglers Dining
473,473,473,White Tower Restaurant
474,474,474,Healthyway Natural Foods
475,475,475,Sea Wok
476,476,476,Legends Dining Room
477,477,477,Baba Gannouj
478,478,478,Fresh Start Bistro
479,479,479,Harbour Grill
480,480,480,Takao's Kitchen
481,481,481,Campbell River Lodge Sushi
482,482,482,Serious Coffee Campbell River
483,483,483,Lee's
484,484,484,Q Beans Coffee
485,485,485,Daves' Bakery
486,486,486,Perks
487,487,487,Dicks Fish & Chips
488,488,488,The Island Grind Coffee & Tea
489,489,489,Nesbitt's Island Coffee
490,490,490,Java Shack
491,491,491,Nite Time News Convenience Store
492,492,492,Steiner Bakery
493,493,493,Brew Unto Others
494,494,494,Sundance Java Bar
495,495,495,Stonehouse Teas
496,496,496,Foggdukkers Coffee
497,497,497,Viibrant Earth Cafe
498,498,498,Steve's Place Diner
499,499,499,Fire Valley Diner
500,500,500,C & F Restaurant
501,501,501,Base Camp Coffee Shop Inc.
502,502,502,The Wandering Greek Oven Restaurant
503,503,503,Bagels & Brew
504,504,504,The Bombi
505,505,505,Pie In The Sky
506,506,506,Panago Pizza Place
507,507,507,The Nineteenth
508,508,508,Gravi Tea Coffee & toys
509,509,509,Maggie's Mug
510,510,510,Crumbs Bakery Cafe
511,511,511,Trackside Bistro
512,512,512,Chameleon Restaurant
513,513,513,The Grand Buddha Bistro
514,514,514,Chopsticks
515,515,515,Thrums Local Market & Gallery
516,516,516,Waf-Pho
517,517,517,Lions Head Smoke & Brew Pub
518,518,518,Common Grounds
519,519,519,Black Rooster Bar and Grill
520,520,520,Roots Modern Health Food
521,521,521,Cartwright's Pub
522,522,522,Monte Carlo Grill
523,523,523,Cuisine of India
524,524,524,Humble Bean Coffee
525,525,525,J & V Restaurant
526,526,526,A&W Restaurants
527,527,527,Chances Castlegar
528,528,528,Little Bear
529,529,529,Pie In The Sky Restaurant
530,530,530,Pan Handle Restaurant
531,531,531,The Office Pub & Grill
532,532,532,Woodland
533,533,533,Alternative Grounds Coffee & Tea House
534,534,534,China Moon Restaurant
535,535,535,Boer Mountain Coffee House
536,536,536,Wagon Wheel
537,537,537,Dragon Palace Restaurant
538,538,538,Grapevine Pub
539,539,539,Old and Bold Espresso Bar
540,540,540,Thierry
541,541,541,Caffe Artigiano
542,542,542,Costco
543,543,543,Uprising Bread Company
544,544,544,Las Tortas
545,545,545,Our Town Cafe
546,546,546,Relish Gourmet Burgers
547,547,547,Nelson the Seagull
548,548,548,Catfe
549,549,549,The Hide Out Cafe
550,550,550,La Belle Patate
551,551,551,Pajo's Restaurant
552,552,552,Mink - A Chocolate Cafe
553,553,553,Trees Organic Coffee
554,554,554,Soft Peaks
555,555,555,The Soup Meister
556,556,556,Tractor Downtown
557,557,557,Nando's Davie & Howe (Downtown)
558,558,558,Lost In The 50's Drive-In
559,559,559,Big Star Sandwich Co.
560,560,560,Tractor - Olympic Village
561,561,561,Cupcakes at Metrotown
562,562,562,La Foret Bakery & Coffee
563,563,563,JJ Bean Coffee Roasters
564,564,564,La Casa Gelato
565,565,565,Timbertrain Coffee Roasters
566,566,566,Terra Breads Olympic Village Cafe
567,567,567,Bakery Sate
568,568,568,Bel Cafe
569,569,569,Gabi & Jules
570,570,570,Japadog
571,571,571,Bella Gelateria & Gelato
572,572,572,Siegel's Bagels
573,573,573,Bluhouse Market & Cafe
574,574,574,Moja Coffee
575,575,575,Church's Chicken
576,576,576,Smart Mouth Cafe
577,577,577,Trafiq Cafe and Bakery
578,578,578,Grand Villa Hotel & Casino Buffet
579,579,579,Greens and Beans deli
580,580,580,Togo Sushi
581,581,581,DownLow Chicken Shack
582,582,582,Small Victory
583,583,583,Beaucoup
584,584,584,Montgomery's Fish & Chips
585,585,585,Fratelli Bakery
586,586,586,Pallet Coffee Roasters
587,587,587,Aperture Coffee Bar
588,588,588,Chronic Taco
589,589,589,Faubourg Vancouver
590,590,590,The Gluten Free Epicurean
591,591,591,Honey Doughnuts & Goodies
592,592,592,Footo Croissant
593,593,593,Turks Coffee Exchange
594,594,594,Rosemary Rocksalt - Main St
595,595,595,Old Crow Coffee Co.
596,596,596,Go Fish
597,597,597,Solly's
598,598,598,Fondway Cafe
599,599,599,The Crab Shop
600,600,600,Cartems Donuts
601,601,601,Coco et Olive
602,602,602,Wave Coffee House
603,603,603,Pamola Bakery & Deli
604,604,604,Eternal Abundance
605,605,605,Peaked Pies
606,606,606,Caveman Cafe
607,607,607,Mister - Artisan Ice Cream
608,608,608,Five Guys
609,609,609,The Spud Shack
610,610,610,American Cheese Steak
611,611,611,Caffe Divano
612,612,612,Breka Bakery & Cafe
613,613,613,Anny's Dairy Bar
614,614,614,49th Parallel Roasters Cafe
615,615,615,Nemesis Coffee
616,616,616,Duffin's Donuts
617,617,617,Nando's Kingsway
618,618,618,Le Petit Belge
619,619,619,Stuart's Bakery
620,620,620,Continental Coffee House
621,621,621,Fraser Park Restaurant
622,622,622,The Laughing Bean Coffee Co.
623,623,623,Revolver Coffee
624,624,624,The Nosherie
625,625,625,Belgian Fries
626,626,626,Matchstick Coffee
627,627,627,Vera's Burger Shack
628,628,628,Lee's Donuts
629,629,629,Thomas Haas
630,630,630,Straight Outta Brooklyn Pizzeria
631,631,631,Bosa Foods
632,632,632,Buddha-Full
633,633,633,Cafe Calabria
634,634,634,Glenburn Soda Fountain & Confectionery
635,635,635,Earnest Ice Cream
636,636,636,Ba-le Sandwich Shop
637,637,637,Jimmy's Place Restaurant
638,638,638,Nosh
639,639,639,Pacific Poke
640,640,640,Birds and the Beets
641,641,641,D'oro Gelato e Caffè
642,642,642,Wally's Burgers
643,643,643,The Market Grill at Granville Island
644,644,644,Swiss Bakery
645,645,645,Prado Cafe
646,646,646,Joe's Cafe
647,647,647,Best Falafel
648,648,648,The Carvery Sandwich Shop
649,649,649,Breka Bakery and Cafe (Fraser)
650,650,650,Beta5 Chocolates
651,651,651,Commercial Street Cafe
652,652,652,Covert Neighbourhood Cafe
653,653,653,Virtuous Pie
654,654,654,SMAK - Healthy Fast Food
655,655,655,Sal y Limon
656,656,656,Breka Bakery & Cafe (Bute)
657,657,657,Batard Boulangerie Cafe Moderne
658,658,658,The Fish Counter
659,659,659,Fritz European Fry House
660,660,660,Re-Up BBQ
661,661,661,JJ Bean Coffee Roasters - Granville Island
662,662,662,Moderne Burger
663,663,663,Chez Christophe Chocolaterie Patisserie
664,664,664,La Grotta Del Formaggio
665,665,665,Supreme Pizza
666,666,666,JJ Bean Coffee Roasters - Park & Tilford
667,667,667,Mcdonald's
668,668,668,Nando's Metrotown
669,669,669,Incognito Coffee
670,670,670,Crackle creme
671,671,671,Vashti Rose Ice Cream
672,672,672,Nero waffles
673,673,673,On Yogurt
674,674,674,Mario's Gelati Ltd
675,675,675,Nuvola Gelato e Dolci
676,676,676,OneZo Tapioca
677,677,677,Oui Coffee House
678,678,678,Ki Tea House Cafe
679,679,679,Europe Bakery & Deli
680,680,680,East Village Bakery
681,681,681,Dairy Queen
682,682,682,Sulmida Dessert Cafe
683,683,683,Rocky Point Ice Cream Store
684,684,684,17°C Dessert Café
685,685,685,Dolce Amore
686,686,686,Rocky Mountain Chocolate
687,687,687,Dessert Dynasty
688,688,688,The Pie Hole
689,689,689,Uncle Tetsu's Japanese Cheesecake
690,690,690,Cafe by Tao
691,691,691,Rain Or Shine
692,692,692,Off the Grid Waffles
693,693,693,Menchie's Frozen Yogurt
694,694,694,Cadeaux Bakery Inc.
695,695,695,Purebread
696,696,696,A Bread Affair
697,697,697,Rain Or Shine Ice Cream
698,698,698,Bellagio's Gelato
699,699,699,Tre Galli Gelato Caffe
700,700,700,Welcome Parlour Ice Cream
701,701,701,Sweet Revenge Patisserie
702,702,702,Innocent Ice Cream
703,703,703,Lemonade Gluten Free Bakery
704,704,704,Matteo's Gelato
705,705,705,Rain City Juicery
706,706,706,California Crepes
707,707,707,Cafe Crepe
708,708,708,Umaluma Dairy-Free Gelato
709,709,709,The Drive Coffee Bar
710,710,710,Cafe Orso
711,711,711,Craft Cafe
712,712,712,Rong Rong Tea House
713,713,713,Tealips Cafe
714,714,714,Platform 7
715,715,715,Lucky's Doughnuts
716,716,716,Renzo's Cafe
717,717,717,Coffee Monster
718,718,718,Wilder Snail Grocery & Coffee
719,719,719,Matchstick Coffee Roasters
720,720,720,Camellia Tea & Coffee
721,721,721,JJ Bean Coffee Roasters - Powell St.
722,722,722,Granville Island Tea Co
723,723,723,Continental Coffee
724,724,724,Mario's Coffee Express
725,725,725,YiFang Fruit Tea
726,726,726,Chance Cafe
727,727,727,Andrews on 8th
728,728,728,Liberty Bakery & Cafe
729,729,729,Bubble World Tea House
730,730,730,Cedar Cottage Coffee House
731,731,731,Renaissance Coffee
732,732,732,Audrey Moment Afternoon Tea & Cafe
733,733,733,Lou Lou Lounge
734,734,734,Bean Around the World-Seymour
735,735,735,Lear Faye Espresso Kitchen
736,736,736,JJ Bean Coffee Roasters - Main St.
737,737,737,Gene Cafe
738,738,738,Bump N Grind
739,739,739,Far Out Coffee Post
740,740,740,Sunflower Bubble Tea
741,741,741,Waves Coffee
742,742,742,Y2 Cafe
743,743,743,Coffee + Vanilla
744,744,744,Marley Coffee Music Bar
745,745,745,Spade Coffee Spirits & Treats
746,746,746,Caffe Cittadella
747,747,747,Yama Cafe
748,748,748,S'wich Cafe
749,749,749,Tea Plus
750,750,750,Blenz Cofee
751,751,751,The Big 6 Family Restaurnt
752,752,752,Joe's Table Cafe
753,753,753,The Mighty Oak
754,754,754,Milano Boutique Coffee Roasters
755,755,755,Kafka's Coffee & Tea
756,756,756,Bagel Stop
757,757,757,1st Avenue Bakery
758,758,758,Beard Papa's
759,759,759,Euro Bagel Cafe
760,760,760,Kozak Ukrainian Eatery
761,761,761,Belmont Cafe
762,762,762,Hong Hong Bakery
763,763,763,Rocio's Saltenas & Pastries
764,764,764,Manzano European Bakery
765,765,765,Cobs Bread
766,766,766,Rhino Pub
767,767,767,Cavo Bar & Kitchen
768,768,768,Seymour’s Pub
769,769,769,Luppolo Brewing Company
770,770,770,Great Bear Pub
771,771,771,The Moose Vancouver
772,772,772,131 Water Kitchen and Bar
773,773,773,12 Kings
774,774,774,Kismet Hookah
775,775,775,Union Jack Public House
776,776,776,33 Acres Brewing Company
777,777,777,Toby's on the Drive
778,778,778,Fireside Pub
779,779,779,Green Leaf Brewing Co
780,780,780,The Princeton Pub & Grill
781,781,781,River's Reach Pub
782,782,782,Lonsdale Quay Market
783,783,783,urban Fare 305 bute street
784,784,784,Whole Foods Market
785,785,785,IGA
786,786,786,Rocco's Deli
787,787,787,Cioffi's
788,788,788,Bucking Horse River Lodge
789,789,789,Mineral Beach Bistro
790,790,790,The Ledge Community Coffee House
791,791,791,Northyards Cider Co.
792,792,792,Shady Tree Pub
793,793,793,Chill Gelato
794,794,794,Counterpart Coffee
795,795,795,Sushi Goemon
796,796,796,Whistler Wood Fired Pizza Company
797,797,797,"Bisla Sweets, Restaurant & Meat Shop"
798,798,798,Panagopoulas Pizza
799,799,799,The Locavore Food Truck
800,800,800,Fuel + Forest Cafe
801,801,801,Wigan Pier
802,802,802,Saha Eatery
803,803,803,à Table!
804,804,804,Mag's99 Fried Chicken And Mexican Cantina
805,805,805,Mountain Burger House
806,806,806,Mountain Woman Take-Out
807,807,807,Carte Diem - Seize The Souvlaki
808,808,808,Dragon Terrace Chinese Restaurant
809,809,809,The Green Moustache Organic Café
810,810,810,Luz Tacos
811,811,811,Golden Crust
812,812,812,Sunflower Bakery & Cafe
813,813,813,Galileo Coffee Company
814,814,814,Zephyr Cafe
815,815,815,Joe Pesto's Wood Fire Pizza
816,816,816,Spice Root Kitchen and Bar
817,817,817,Summit Restaurant & Edge Bar
818,818,818,Copper Coil Still & Grill
819,819,819,Sushi Sen
820,820,820,Naked Lunch Express
821,821,821,Cliffside Neighbourhood Pub
